ID,Lon,Lat,MS_bathy_5m,BO21_tempmean_bdmean,BO21_temprange_bdmean,BO21_tempmean_ss,BO21_temprange_ss,BO21_RCP26_2050_tempmean_bdmean,BO21_RCP45_2050_tempmean_bdmean,BO21_RCP60_2050_tempmean_bdmean,BO21_RCP85_2050_tempmean_bdmean,BO21_RCP26_2100_tempmean_bdmean,BO21_RCP45_2100_tempmean_bdmean,BO21_RCP60_2100_tempmean_bdmean,BO21_RCP85_2100_tempmean_bdmean,BO21_RCP26_2050_temprange_bdmean,BO21_RCP45_2050_temprange_bdmean,BO21_RCP60_2050_temprange_bdmean,BO21_RCP85_2050_temprange_bdmean,BO21_RCP26_2100_temprange_bdmean,BO21_RCP45_2100_temprange_bdmean,BO21_RCP60_2100_temprange_bdmean,BO21_RCP85_2100_temprange_bdmean,BO21_RCP26_2050_tempmean_ss,BO21_RCP45_2050_tempmean_ss,BO21_RCP60_2050_tempmean_ss,BO21_RCP85_2050_tempmean_ss,BO21_RCP26_2100_tempmean_ss,BO21_RCP45_2100_tempmean_ss,BO21_RCP60_2100_tempmean_ss,BO21_RCP85_2100_tempmean_ss,BO21_RCP26_2050_temprange_ss,BO21_RCP45_2050_temprange_ss,BO21_RCP60_2050_temprange_ss,BO21_RCP85_2050_temprange_ss,BO21_RCP26_2100_temprange_ss,BO21_RCP45_2100_temprange_ss,BO21_RCP60_2100_temprange_ss,BO21_RCP85_2100_temprange_ss
85,-8.458333333333334,51.62499999999999,-46,10.866,5.281,12.288,9.304,11.325,11.294,11.21,11.507,11.15,11.595,11.978,12.84,5.43,5.452,5.681,5.703,5.335,5.427,5.379,5.128,13.057,13.175,12.873,13.213,12.831,13.174,13.832,15.002,10.549,10.596,10.789,10.766,9.885,10.4,10.589,11.204
86,-7.291666666666667,51.791666666666664,-75,10.523,4.787,12.365,9.351,10.964,10.915,10.81,11.107,10.77,11.211,11.59,12.444,5.073,5.036,5.153,5.29,4.886,4.979,4.877,4.663,13.225,13.317,13.018,13.372,12.972,13.331,14.026,15.252,10.529,10.617,10.74,10.874,10.02,10.483,10.573,11.282
87,-10.458333333333334,52.291666666666664,-91,10.375,4.088,12.143,8.421,10.405,10.518,10.371,10.573,10.447,10.796,11.102,11.847,4.348,4.723,4.674,4.676,4.348,4.466,4.672,4.477,12.533,12.724,12.399,12.662,12.45,12.615,13.203,14.156,9.501,9.447,9.678,9.614,8.946,9.188,9.758,9.857
88,-5.208333333333334,54.70833333333333,-172,10.076,2.159,10.872,8.187,10.127,10.21,10.193,10.71,10.392,10.909,11.696,12.896,2.706,3.173,3.071,3.265,2.817,3.129,3.573,2.89,11.426,11.525,11.165,11.512,11.212,11.536,12.056,13.158,8.88,9.071,9.29,9.424,8.237,8.757,8.96,9.285
89,-1.125,55.62499999999999,-82,7.985,5.849,10.325,10.65,8.152,8.152,7.996,8.355,8.163,8.53,8.779,9.945,5.951,6.295,6.333,6.537,6.145,6.01,6.744,6.057,11.115,11.321,10.909,11.418,10.834,11.139,11.747,13.177,10.753,11.084,11.172,11.463,11.128,10.796,11.339,12.126
90,1.2083333333333321,56.45833333333333,-94,7.873,5.728,10.652,10.957,8.122,8.098,7.954,8.291,8.078,8.496,8.625,9.696,5.462,5.76,5.803,5.963,5.546,5.275,6.008,5.058,11.353,11.606,11.159,11.671,11.296,11.491,12.094,13.543,11.212,11.481,11.58,11.714,11.75,10.917,12.023,12.322
91,1.041666666666666,54.95833333333333,-56,9.334,9.619,10.816,12.112,9.858,9.835,9.691,10.088,9.707,10.133,10.435,11.422,9.639,9.946,10.101,10.278,9.718,9.541,9.811,9.086,11.648,11.91,11.415,11.976,11.549,11.741,12.445,13.913,12.039,12.557,12.455,12.947,13.095,12.187,12.682,13.187
92,-5.458333333333334,52.37499999999999,-88,9.91,4.342,11.769,7.956,10.23,10.2,10.077,10.377,10.04,10.508,10.884,11.749,4.459,4.626,4.565,4.9,4.441,4.631,4.439,4.431,12.665,12.756,12.433,12.824,12.393,12.772,13.467,14.728,8.839,9.112,9.102,9.406,8.472,8.922,8.89,9.527
93,-11.041666666666666,52.62499999999999,-125,10.23,2.122,12.449,8.042,10.419,10.683,10.493,10.868,10.514,11.169,11.532,12.785,2.799,2.954,2.852,3.134,2.746,3.002,2.771,2.808,12.68,12.875,12.559,12.784,12.604,12.74,13.318,14.205,9.189,9.173,9.373,9.356,8.698,8.778,9.435,9.519
94,-7.291666666666667,50.041666666666664,-116,10.513,2.564,13.214,8.906,10.87,10.85,10.694,11.004,10.649,11.122,11.536,12.439,2.785,3.074,2.931,3.198,2.8,2.977,2.982,3.11,13.935,14.073,13.749,14.086,13.759,14.027,14.724,15.828,9.92,10.29,10.242,10.337,9.633,10.115,10.381,10.988
95,0.875,56.29166666666666,-99,7.851,5.667,10.653,11.091,8.099,8.074,7.929,8.266,8.05,8.464,8.606,9.659,5.433,5.735,5.761,5.913,5.515,5.241,5.952,5.021,11.366,11.617,11.171,11.68,11.288,11.491,12.089,13.535,11.299,11.581,11.741,11.85,11.844,11.072,12.098,12.499
96,-4.875,51.12499999999999,-52,10.652,6.182,12.695,10.19,11.259,11.125,11.039,11.351,11.015,11.442,11.886,12.767,6.38,6.397,6.57,6.679,6.391,6.186,6.279,6.063,13.576,13.689,13.357,13.73,13.35,13.733,14.395,15.69,11.112,11.363,11.251,11.819,10.835,11.569,11.278,12.237
97,2.458333333333332,54.70833333333333,-23,10.817,14.403,10.96,13.344,11.654,11.667,11.448,11.97,11.514,11.997,12.396,13.815,14.534,14.613,14.808,15.208,15.52,14.759,15.402,14.845,11.798,12.072,11.601,12.131,11.684,11.885,12.562,14.053,13.516,13.928,13.698,14.3,14.485,13.387,14.163,14.093
98,-4.625,52.12499999999999,-19,11.795,9.622,11.929,10.64,12.611,12.485,12.388,12.75,12.392,12.958,13.387,14.505,10.095,10.179,10.362,10.748,10.096,11.036,10.253,10.624,12.838,12.948,12.615,13.009,12.598,12.997,13.669,14.953,11.463,11.794,11.724,12.141,11.226,11.71,11.587,12.372
99,-8.708333333333334,50.37499999999999,-126,10.585,1.972,13.027,8.875,10.943,10.997,10.833,11.193,10.728,11.288,11.765,12.845,2.237,2.522,2.36,2.861,2.197,2.737,2.554,2.687,13.68,13.84,13.53,13.847,13.519,13.798,14.456,15.538,10.025,10.242,10.276,10.28,9.613,10.092,10.464,10.805
100,1.625,53.62499999999999,-22,10.532,12.866,10.716,11.94,11.443,11.414,11.193,11.701,11.222,11.73,12.102,13.366,13.018,13.429,13.134,13.748,13.752,13.289,13.61,13.181,11.618,11.887,11.415,11.966,11.472,11.708,12.41,13.874,12.058,12.389,12.06,12.832,13.122,12.045,12.689,12.55
